kc,ku,mc,mr,nc,nr,nvr,X,time,peak,backend
4,4,8,2,1792,64,4,[4; 4; 8; 2; 1792; 64; 4],0.01957118112477474,0.35718368871552336,tvm
128,2,32,8,64,32,2,[128; 2; 32; 8; 64; 32; 2],0.037429546500789,0.18676439658490945,tvm
16,8,32,1,112,16,1,[16; 8; 32; 1; 112; 16; 1],0.02287143537978409,0.3056435484082267,tvm
64,64,16,8,448,32,2,[64; 64; 16; 8; 448; 32; 2],0.024556290874897968,0.284672742405594,tvm
2,1,4,2,64,64,4,[2; 1; 4; 2; 64; 64; 4],0.02255432537640445,0.30994084504872366,tvm
16,8,8,2,7168,64,4,[16; 8; 8; 2; 7168; 64; 4],0.07992164051393047,0.0874670067045009,tvm
4,2,16,2,512,32,2,[4; 2; 16; 2; 512; 32; 2],0.02781426398723852,0.25132811962502355,tvm
16,16,4,2,896,32,2,[16; 16; 4; 2; 896; 32; 2],0.02001577125338372,0.34924992787799286,tvm
16,1,64,4,512,64,4,[16; 1; 64; 4; 512; 64; 4],0.03540196499670856,0.1974609789969737,tvm
16,2,64,2,1024,64,4,[16; 2; 64; 2; 1024; 64; 4],0.019511490754666738,0.3582764000231343,tvm
128,32,16,8,224,32,2,[128; 32; 16; 8; 224; 32; 2],0.022061161500460003,0.3168693845299535,tvm
4,1,16,2,896,16,1,[4; 1; 16; 2; 896; 16; 1],0.017946990628843196,0.38950857061417277,tvm
128,1,64,16,7168,16,1,[128; 1; 64; 16; 7168; 16; 1],0.7326466729864478,0.00954144326919775,tvm
64,8,4,2,448,112,7,[64; 8; 4; 2; 448; 112; 7],0.01837280787731288,0.38048112805330575,tvm
8,2,64,8,2048,16,1,[8; 2; 64; 8; 2048; 16; 1],0.14181005000136793,0.04929486074223396,tvm
16,16,64,4,512,64,4,[16; 16; 64; 4; 512; 64; 4],0.015901683873380534,0.43960795110314044,tvm
16,4,2,2,14336,112,7,[16; 4; 2; 2; 14336; 112; 7],0.18248524999944493,0.038307242183617196,tvm
