kc,ku,mc,mr,nc,nr,nvr,X,time,peak,backend
8,8,4,4,640,32,2,[8; 8; 4; 4; 640; 32; 2],0.03752693549904507,0.12181726300419332,tvm
20,5,75,5,64,64,4,[20; 5; 75; 5; 64; 64; 4],0.01165908512484748,0.3920915339820348,tvm
8,4,300,2,320,16,1,[8; 4; 300; 2; 320; 16; 1],0.06508845850476064,0.0702340887531422,tvm
40,4,15,15,64,16,1,[40; 4; 15; 15; 64; 16; 1],0.01602662512595998,0.28523962690209537,tvm
8,8,12,2,640,64,4,[8; 8; 12; 2; 640; 64; 4],0.04167921050975565,0.10968126592413645,tvm
20,10,12,2,160,160,10,[20; 10; 12; 2; 160; 160; 10],0.008587831249315059,0.5323146716224979,tvm
32,1,50,1,128,128,8,[32; 1; 50; 1; 128; 128; 8],0.01863253174815327,0.24534661382673673,tvm
320,320,750,15,64,16,1,[320; 320; 750; 15; 64; 16; 1],0.024887094121368136,0.18368671525630342,tvm
256,2,150,5,256,32,2,[256; 2; 150; 5; 256; 32; 2],0.06119577199569903,0.074701706054952,tvm
64,2,30,15,1280,16,1,[64; 2; 30; 15; 1280; 16; 1],0.20408061699708924,0.022400111478954286,tvm
40,10,50,2,128,128,8,[40; 10; 50; 2; 128; 128; 8],0.013787776493700221,0.3315566199899821,tvm
5,1,75,3,80,80,5,[5; 1; 75; 3; 80; 80; 5],0.01754728412925033,0.2605205761618836,tvm
4,2,12,6,64,64,4,[4; 2; 12; 6; 64; 64; 4],0.020688535005319864,0.220964344273438,tvm
16,2,3,1,160,160,10,[16; 2; 3; 1; 160; 160; 10],0.03168547475070227,0.14427521150925005,tvm
256,1,300,25,160,16,1,[256; 1; 300; 25; 160; 16; 1],0.032843992245034315,0.13918614209025476,tvm
80,80,750,5,256,32,2,[80; 80; 750; 5; 256; 32; 2],0.01739107237517601,0.26286064900482053,tvm
128,64,250,5,64,64,4,[128; 64; 250; 5; 64; 64; 4],0.01532644612598233,0.2982706188931044,tvm
32,8,75,5,64,32,2,[32; 8; 75; 5; 64; 32; 2],0.025386957000591792,0.18006996944620057,tvm
128,64,150,10,64,16,1,[128; 64; 150; 10; 64; 16; 1],0.028547931753564626,0.16013169048079157,tvm
40,5,50,2,256,128,8,[40; 5; 50; 2; 256; 128; 8],0.028435155501938425,0.16076678642101808,tvm
20,4,150,10,160,32,2,[20; 4; 150; 10; 160; 32; 2],0.011575384000025224,0.39492673171089704,tvm
256,2,50,5,1280,32,2,[256; 2; 50; 5; 1280; 32; 2],0.1502002389752306,0.030435561238903504,tvm
20,1,375,5,32,16,1,[20; 1; 375; 5; 32; 16; 1],0.026195195998298004,0.17451400522926394,tvm
4,1,4,2,256,128,8,[4; 1; 4; 2; 256; 128; 8],0.029064843751257285,0.15728378279105049,tvm
4,2,750,10,1280,16,1,[4; 2; 750; 10; 1280; 16; 1],0.30171603901544586,0.015151427104591364,tvm
10,10,1500,30,640,16,1,[10; 10; 1500; 30; 640; 16; 1],0.1325917590293102,0.03447747133679726,tvm
32,2,4,4,160,32,2,[32; 2; 4; 4; 160; 32; 2],0.014514158625388518,0.31496338777999283,tvm
1,1,300,4,160,32,2,[1; 1; 300; 4; 160; 32; 2],0.11352356098359451,0.04026854453666404,tvm
40,4,4,4,128,32,2,[40; 4; 4; 4; 128; 32; 2],0.02167955024924595,0.21086362580734688,tvm
160,8,10,10,32,16,1,[160; 8; 10; 10; 32; 16; 1],0.01918759775435319,0.23824913519418697,tvm
20,1,500,10,64,16,1,[20; 1; 500; 10; 64; 16; 1],0.024717187123314943,0.18494938556808865,tvm
2,2,60,1,256,128,8,[2; 2; 60; 1; 256; 128; 8],0.08999769249930978,0.050794953120199514,tvm
8,4,20,5,160,32,2,[8; 4; 20; 5; 160; 32; 2],0.02660758224374149,0.17180924330333852,tvm
160,80,10,10,80,16,1,[160; 80; 10; 10; 80; 16; 1],0.04600264500186313,0.09937316802639123,tvm
256,4,12,6,32,32,2,[256; 4; 12; 6; 32; 32; 2],0.02267257612402318,0.20162810553251703,tvm
8,2,1500,5,160,32,2,[8; 2; 1500; 5; 160; 32; 2],0.03536660624376964,0.1292583331269988,tvm
64,8,150,6,64,64,4,[64; 8; 150; 6; 64; 64; 4],0.010715287313360022,0.42662678449404046,tvm
32,2,300,5,320,64,4,[32; 2; 300; 5; 320; 64; 4],0.03250196100270841,0.1406508539914755,tvm
8,2,50,5,128,64,4,[8; 2; 50; 5; 128; 64; 4],0.052871073508867994,0.08646369873049414,tvm
160,5,50,10,128,16,1,[160; 5; 50; 10; 128; 16; 1],0.02037679761997424,0.2243447992508624,tvm
10,2,15,1,256,128,8,[10; 2; 15; 1; 256; 128; 8],0.03349169225839432,0.13649440393035958,tvm
64,16,300,4,1280,80,5,[64; 16; 300; 4; 1280; 80; 5],0.09319499548291788,0.04905229672194672,tvm
128,4,30,10,320,32,2,[128; 4; 30; 10; 320; 32; 2],0.023820235750463326,0.19191365775377153,tvm
32,2,375,5,640,64,4,[32; 2; 375; 5; 640; 64; 4],0.10989456000970677,0.04159831543094387,tvm
20,20,3,1,640,80,5,[20; 20; 3; 1; 640; 80; 5],0.05873452150262892,0.07783205608006796,tvm
160,32,20,10,640,32,2,[160; 32; 20; 10; 640; 32; 2],0.03497975425852928,0.13068784124788121,tvm
2,2,500,5,640,80,5,[2; 2; 500; 5; 640; 80; 5],0.15852968499530107,0.028836419952288885,tvm
64,16,20,20,128,16,1,[64; 16; 20; 20; 128; 16; 1],0.016488522123836447,0.27724913955871994,tvm
20,2,150,10,80,16,1,[20; 2; 150; 10; 80; 16; 1],0.04061620849824976,0.11255182944083922,tvm
160,16,30,30,1280,16,1,[160; 16; 30; 30; 1280; 16; 1],0.16878474596887827,0.027084370362896917,tvm
8,8,75,1,128,128,8,[8; 8; 75; 1; 128; 128; 8],0.018378771623247303,0.2487341735965734,tvm
320,64,30,30,1280,16,1,[320; 64; 30; 30; 1280; 16; 1],0.25392686598934233,0.0180029338511209,tvm
8,2,5,1,64,32,2,[8; 2; 5; 1; 64; 32; 2],0.01690351087745512,0.2704425491585696,tvm
10,2,30,5,640,32,2,[10; 2; 30; 5; 640; 32; 2],0.07778223950299434,0.05877213873808028,tvm
5,5,30,10,64,32,2,[5; 5; 30; 10; 64; 32; 2],0.01856893425429007,0.2461869113663544,tvm
20,5,375,15,80,16,1,[20; 5; 375; 15; 80; 16; 1],0.026250377253745683,0.17414715709566694,tvm
5,1,500,1,1280,80,5,[5; 1; 500; 1; 1280; 80; 5],0.1661425299826078,0.027515101472856587,tvm
160,2,20,10,64,32,2,[160; 2; 20; 10; 64; 32; 2],0.019457863752904814,0.23493990036527598,tvm
32,1,500,5,320,64,4,[32; 1; 500; 5; 320; 64; 4],0.03429496425087564,0.13329737094890984,tvm
256,64,150,10,1280,32,2,[256; 64; 150; 10; 1280; 32; 2],0.1185600190074183,0.038557927113207845,tvm
64,1,375,15,640,16,1,[64; 1; 375; 15; 640; 16; 1],0.08623723898199387,0.05300991341319584,tvm
160,16,6,6,160,32,2,[160; 16; 6; 6; 160; 32; 2],0.007278382876393152,0.6280830026482437,tvm
256,4,30,5,160,32,2,[256; 4; 30; 5; 160; 32; 2],0.025136116746580228,0.18186693742383717,tvm
20,10,150,3,80,16,1,[20; 10; 150; 3; 80; 16; 1],0.028696441499050707,0.1593029773945943,tvm
320,5,750,10,640,16,1,[320; 5; 750; 10; 640; 16; 1],0.051398067007539794,0.08894164387073097,tvm
20,2,5,1,320,32,2,[20; 2; 5; 1; 320; 32; 2],0.04899454275437165,0.09330485222296876,tvm
256,256,60,5,32,32,2,[256; 256; 60; 5; 32; 32; 2],0.016533590249309782,0.2764933993461833,tvm
16,16,60,4,640,32,2,[16; 16; 60; 4; 640; 32; 2],0.041570859248167835,0.10996714174557384,tvm
64,1,10,2,256,128,8,[64; 1; 10; 2; 256; 128; 8],0.014170294372888748,0.32260646470230264,tvm
16,2,50,2,80,80,5,[16; 2; 50; 2; 80; 80; 5],0.0301274434896186,0.15173635867921575,tvm
128,64,250,2,640,64,4,[128; 64; 250; 2; 640; 64; 4],0.03357457400124986,0.1361574556763816,tvm
80,2,125,25,128,16,1,[80; 2; 125; 25; 128; 16; 1],0.03620220674201846,0.12627485954116427,tvm
256,4,300,25,1280,16,1,[256; 4; 300; 25; 1280; 16; 1],0.1411509090103209,0.032386816376041266,tvm
5,1,750,2,640,32,2,[5; 1; 750; 2; 640; 32; 2],0.06570340902544558,0.0695767333725127,tvm
80,40,20,20,160,16,1,[80; 40; 20; 20; 160; 16; 1],0.014098265499342233,0.32425468024005194,tvm
80,20,100,5,1280,64,4,[80; 20; 100; 5; 1280; 64; 4],0.05608202301664278,0.08151326085494393,tvm
1,1,20,1,80,80,5,[1; 1; 20; 1; 80; 80; 5],0.03696680399298202,0.12366307274755038,tvm
16,8,20,2,160,16,1,[16; 8; 20; 2; 160; 16; 1],0.012166889562649885,0.375726971785954,tvm
160,2,100,10,64,16,1,[160; 2; 100; 10; 64; 16; 1],0.05720289799501188,0.07991603103442771,tvm
4,4,500,25,640,16,1,[4; 4; 500; 25; 640; 16; 1],0.13254320103442296,0.03449010236474763,tvm
80,5,5,5,1280,64,4,[80; 5; 5; 5; 1280; 64; 4],0.06947587549802847,0.0657987904241422,tvm
2,2,6,6,64,64,4,[2; 2; 6; 6; 64; 64; 4],0.024837949247739743,0.1840501615424056,tvm
4,1,6,1,256,32,2,[4; 1; 6; 1; 256; 32; 2],0.02471796674944926,0.1849435521038731,tvm
32,2,6,6,32,32,2,[32; 2; 6; 6; 32; 32; 2],0.03025341924512759,0.15110452588478293,tvm
16,8,10,10,160,32,2,[16; 8; 10; 10; 160; 32; 2],0.009232419437466888,0.4951495761638448,tvm
8,2,20,4,32,32,2,[8; 2; 20; 4; 32; 32; 2],0.020042269126861356,0.22808937164214516,tvm
8,8,20,1,128,16,1,[8; 8; 20; 1; 128; 16; 1],0.02527291199658066,0.18088254222730923,tvm
80,1,100,10,160,32,2,[80; 1; 100; 10; 160; 32; 2],0.03786534750543069,0.12072855189756102,tvm
160,1,150,10,640,32,2,[160; 1; 150; 10; 640; 32; 2],0.06758617601008154,0.06763851487538917,tvm
4,1,50,1,160,32,2,[4; 1; 50; 1; 160; 32; 2],0.031354234990430996,0.14579939752393023,tvm
20,1,300,1,256,16,1,[20; 1; 300; 1; 256; 16; 1],0.025257753994083032,0.18099109574428077,tvm
64,64,4,4,128,64,4,[64; 64; 4; 4; 128; 64; 4],0.02701459800300654,0.1692206773137917,tvm
16,8,2,2,640,16,1,[16; 8; 2; 2; 640; 16; 1],0.04323760623810813,0.10572806797522183,tvm
2,1,75,15,640,16,1,[2; 1; 75; 15; 640; 16; 1],0.20257909898646176,0.022566141296413197,tvm
256,128,250,10,64,16,1,[256; 128; 250; 10; 64; 16; 1],0.02071762425475754,0.22065409214952827,tvm
10,5,250,1,640,32,2,[10; 5; 250; 1; 640; 32; 2],0.11519349599257112,0.03968478022164885,tvm
40,4,20,20,256,16,1,[40; 4; 20; 20; 256; 16; 1],0.05228118851664476,0.0874392625939092,tvm
64,32,60,10,64,32,2,[64; 32; 60; 10; 64; 32; 2],0.012690490126260556,0.3602247451395805,tvm
40,40,10,1,160,160,10,[40; 40; 10; 1; 160; 160; 10],0.014838087248790544,0.3080874572833631,tvm
1,1,12,4,1280,16,1,[1; 1; 12; 4; 1280; 16; 1],0.48932411399437115,0.009342332496373066,tvm
2,1,150,2,32,16,1,[2; 1; 150; 2; 32; 16; 1],0.03020780099905096,0.15133271606139728,tvm
160,16,750,6,160,32,2,[160; 16; 750; 6; 160; 32; 2],0.014243152749259025,0.32095622731184936,tvm
64,16,750,10,160,16,1,[64; 16; 750; 10; 160; 16; 1],0.018652377126272768,0.24508557490988617,tvm
80,8,12,6,640,32,2,[80; 8; 12; 6; 640; 32; 2],0.0345520215050783,0.13230567626142176,tvm
64,64,500,10,256,32,2,[64; 64; 500; 10; 256; 32; 2],0.049235936006880365,0.09284739850969316,tvm
40,1,125,5,160,32,2,[40; 1; 125; 5; 160; 32; 2],0.03682740124349948,0.12413117453503426,tvm
2,2,300,4,1280,80,5,[2; 2; 300; 4; 1280; 80; 5],0.2497357149841264,0.018305065303611617,tvm
40,20,12,2,640,160,10,[40; 20; 12; 2; 640; 160; 10],0.03499862700118683,0.13061736882631284,tvm
20,20,375,3,80,16,1,[20; 20; 375; 3; 80; 16; 1],0.012037755437631859,0.3797575548957897,tvm
20,4,750,10,320,16,1,[20; 4; 750; 10; 320; 16; 1],0.03174943898920901,0.14398454640355401,tvm
128,128,100,10,64,16,1,[128; 128; 100; 10; 64; 16; 1],0.02116551762446761,0.21598472820451797,tvm
8,4,12,2,160,160,10,[8; 4; 12; 2; 160; 160; 10],0.0243157392469584,0.18800286205571154,tvm
16,1,750,6,320,16,1,[16; 1; 750; 6; 320; 16; 1],0.0919519905000925,0.04971538458891733,tvm
20,10,12,4,320,64,4,[20; 10; 12; 4; 320; 64; 4],0.0194279826246202,0.23530124870687336,tvm
20,1,30,3,256,64,4,[20; 1; 30; 3; 256; 64; 4],0.029691770745557733,0.1539628138248547,tvm
80,5,250,2,320,64,4,[80; 5; 250; 2; 320; 64; 4],0.016761028993641958,0.27274152280046016,tvm
16,16,15,1,640,128,8,[16; 16; 15; 1; 640; 128; 8],0.038410181005019695,0.11901606427814405,tvm
32,4,1500,10,1280,32,2,[32; 4; 1500; 10; 1280; 32; 2],0.12070217804284766,0.037873621218382454,tvm
2,1,300,20,64,16,1,[2; 1; 300; 20; 64; 16; 1],0.03902933625795413,0.11712801215001244,tvm
16,16,300,10,160,16,1,[16; 16; 300; 10; 160; 16; 1],0.009861192938842578,0.4635776421554456,tvm
256,8,500,10,640,32,2,[256; 8; 500; 10; 640; 32; 2],0.03346916174632497,0.13658628818005966,tvm
160,40,100,25,640,16,1,[160; 40; 100; 25; 640; 16; 1],0.07783876149915159,0.05872946181804805,tvm
160,2,250,25,320,16,1,[160; 2; 250; 25; 320; 16; 1],0.038919309503398836,0.11745913865787747,tvm
128,64,10,5,64,64,4,[128; 64; 10; 5; 64; 64; 4],0.018423486872052308,0.24813047623266396,tvm
128,64,150,15,16,16,1,[128; 64; 150; 15; 16; 16; 1],0.016013936627132352,0.28546563395806235,tvm
5,1,30,1,32,32,2,[5; 1; 30; 1; 32; 32; 2],0.01567975874786498,0.29154967528126263,tvm
320,2,20,10,64,16,1,[320; 2; 20; 10; 64; 16; 1],0.04447751500993036,0.10278066502609066,tvm
40,20,12,3,256,64,4,[40; 20; 12; 3; 256; 64; 4],0.01274625412770547,0.358648786194529,tvm
16,16,60,1,32,32,2,[16; 16; 60; 1; 32; 32; 2],0.0312539977603592,0.14626700259212,tvm
5,5,150,25,1280,16,1,[5; 5; 150; 25; 1280; 16; 1],0.2326700589619577,0.01964768733812895,tvm
10,1,12,2,160,32,2,[10; 1; 12; 2; 160; 32; 2],0.00970151931323926,0.4712074906855191,tvm
32,32,150,5,320,32,2,[32; 32; 150; 5; 320; 32; 2],0.014891983126290143,0.3069724517319807,tvm
8,1,750,1,80,80,5,[8; 1; 750; 1; 80; 80; 5],0.021001476496167015,0.2176717704711335,tvm
