kc,ku,mc,mr,nc,nr,X,time,peak,backend
96,6,197,1,128,128,[96; 6; 197; 1; 128; 128],0.000902361953194486,0.2395237765643681,tvm
32,8,1,1,768,96,[32; 8; 1; 1; 768; 96],0.00564278953243047,0.038303243744065,tvm
96,12,197,1,384,96,[96; 12; 197; 1; 384; 96],0.0026462213281774893,0.08167765128172451,tvm
4,2,1,1,384,16,[4; 2; 1; 1; 384; 16],0.0023905933121568523,0.09041150653188207,tvm
256,64,197,1,768,64,[256; 64; 197; 1; 768; 64],0.005989120782032842,0.036088292542963384,tvm
32,8,197,1,64,64,[32; 8; 197; 1; 64; 64],0.0005793919842744799,0.37304130661695606,tvm
4,2,1,1,32,16,[4; 2; 1; 1; 32; 16],0.0006178594960601913,0.3498160087129048,tvm
48,16,1,1,96,96,[48; 16; 1; 1; 96; 96],0.001342889273473702,0.16094934044565923,tvm
64,2,197,1,64,16,[64; 2; 197; 1; 64; 16],0.0017122341869253432,0.1262310637806269,tvm
192,16,1,1,256,16,[192; 16; 1; 1; 256; 16],0.004206228686598479,0.05138501944646526,tvm
48,16,1,1,192,16,[48; 16; 1; 1; 192; 16],0.0021334599223337136,0.10130827422373997,tvm
64,4,1,1,192,96,[64; 4; 1; 1; 192; 96],0.0013499148590199184,0.16011168512810162,tvm
256,64,197,1,192,64,[256; 64; 197; 1; 192; 64],0.0012704673672487843,0.17012412001198504,tvm
64,32,197,1,256,64,[64; 32; 197; 1; 256; 64],0.0018526208286857582,0.11666561204025201,tvm
768,6,1,1,32,16,[768; 6; 1; 1; 32; 16],0.006875525250507053,0.03143572817817857,tvm
96,48,1,1,768,96,[96; 48; 1; 1; 768; 96],0.005479358718730509,0.039445700482851176,tvm
48,6,1,1,16,16,[48; 6; 1; 1; 16; 16],0.0010581357346381992,0.20426220926282682,tvm
384,32,197,1,192,64,[384; 32; 197; 1; 192; 64],0.0015201924925349886,0.14217748339009656,tvm
48,3,197,1,64,16,[48; 3; 197; 1; 64; 16],0.003296205093647586,0.06557150927097352,tvm
384,64,197,1,64,64,[384; 64; 197; 1; 64; 64],0.001994701499825169,0.10835563259770285,tvm
384,16,1,1,768,16,[384; 16; 1; 1; 768; 16],0.016742583618906792,0.012909425915189518,tvm
384,64,197,1,192,64,[384; 64; 197; 1; 192; 64],0.003009157062479062,0.0718264744476583,tvm
16,16,1,1,192,16,[16; 16; 1; 1; 192; 16],0.0023008230309642386,0.09393905569806608,tvm
24,4,197,1,192,64,[24; 4; 197; 1; 192; 64],0.001526586898307869,0.1415819453820271,tvm
64,8,197,1,128,128,[64; 8; 197; 1; 128; 128],0.0008704782658242038,0.2482970010198882,tvm
48,24,197,1,768,96,[48; 24; 197; 1; 768; 96],0.005367616437069955,0.04026687551004047,tvm
2,2,1,1,768,96,[2; 2; 1; 1; 768; 96],0.006631004438531818,0.03259493261702569,tvm
192,16,197,1,32,16,[192; 16; 197; 1; 32; 16],0.0015708779528722516,0.13759002885103178,tvm
24,2,1,1,48,16,[24; 2; 1; 1; 48; 16],0.0007546013202954782,0.2864256091846093,tvm
16,1,1,1,256,128,[16; 1; 1; 1; 256; 128],0.0010229737422378093,0.21128317759587004,tvm
768,48,1,1,384,96,[768; 48; 1; 1; 384; 96],0.006545031188579742,0.033023088298536306,tvm
24,24,1,1,64,16,[24; 24; 1; 1; 64; 16],0.0017735905621520942,0.12186417060929759,tvm
384,6,197,1,256,16,[384; 6; 197; 1; 256; 16],0.004450825250387425,0.04856113882213845,tvm
128,32,1,1,64,16,[128; 32; 1; 1; 64; 16],0.009808037499169586,0.022036737000184027,tvm
6,2,197,1,384,128,[6; 2; 197; 1; 384; 128],0.0013653589376190212,0.15830060279537425,tvm
24,1,1,1,256,16,[24; 1; 1; 1; 256; 16],0.00461947309304378,0.046788267515317346,tvm
128,64,197,1,768,96,[128; 64; 197; 1; 768; 96],0.00590732078126166,0.03658801525435042,tvm
384,64,197,1,192,16,[384; 64; 197; 1; 192; 16],0.0033361207497364376,0.06478696638130327,tvm
768,6,197,1,96,96,[768; 6; 197; 1; 96; 96],0.002382031843808363,0.09073646241084059,tvm
384,16,1,1,384,128,[384; 16; 1; 1; 384; 128],0.003271021687396569,0.06607634051768334,tvm
3,3,1,1,256,16,[3; 3; 1; 1; 256; 16],0.0014047249451323296,0.15386438719274115,tvm
1,1,197,1,768,128,[1; 1; 197; 1; 768; 128],0.012487519376009004,0.017308252852234612,tvm
192,16,197,1,96,96,[192; 16; 197; 1; 96; 96],0.0007123893281004712,0.30339750236497104,tvm
6,2,197,1,48,16,[6; 2; 197; 1; 48; 16],0.0013027126483393658,0.16591313758461151,tvm
128,4,197,1,768,16,[128; 4; 197; 1; 768; 16],0.012193636812298791,0.017725404338690964,tvm
96,32,197,1,64,16,[96; 32; 197; 1; 64; 16],0.0018433137502142927,0.11725466857284389,tvm
192,64,1,1,256,64,[192; 64; 1; 1; 256; 64],0.0033296329056611285,0.06491320484299061,tvm
128,32,197,1,192,16,[128; 32; 197; 1; 192; 16],0.00593517328161397,0.036416315514610886,tvm
128,16,1,1,768,128,[128; 16; 1; 1; 768; 128],0.00565003259362129,0.03825414088781628,tvm
2,1,197,1,128,128,[2; 1; 197; 1; 128; 128],0.0010493393360775372,0.20597449788270605,tvm
64,32,197,1,192,16,[64; 32; 197; 1; 192; 16],0.0021217182811597013,0.10186891670604135,tvm
128,32,1,1,256,128,[128; 32; 1; 1; 256; 128],0.0018961540154123213,0.11398712398905188,tvm
