kc,ku,mc,mr,nc,nr,nvr,X,time,peak,backend
2,2,16,2,512,128,8,[2; 2; 16; 2; 512; 128; 8],0.007552190749265719,0.0661161669957095,tvm
64,4,32,4,32,32,2,[64; 4; 32; 4; 32; 32; 2],0.0013648685626321821,0.3658388202589635,tvm
16,8,32,2,64,64,4,[16; 8; 32; 2; 64; 64; 4],0.0012073085626980173,0.41358267487646366,tvm
2,2,4,4,256,16,1,[2; 2; 4; 4; 256; 16; 1],0.0035672843441716395,0.1399725551953029,tvm
4,2,4,1,64,32,2,[4; 2; 4; 1; 64; 32; 2],0.0009640229063734296,0.5179564732961692,tvm
256,64,8,8,32,16,1,[256; 64; 8; 8; 32; 16; 1],0.0016800132498246967,0.2972130754409272,tvm
16,4,8,2,32,32,2,[16; 4; 8; 2; 32; 32; 2],0.0018681935625863844,0.26727525175208733,tvm
256,256,32,16,1024,16,1,[256; 256; 32; 16; 1024; 16; 1],0.10859562002588063,0.0045979930373150025,tvm
16,16,64,2,128,32,2,[16; 16; 64; 2; 128; 32; 2],0.000956721289185225,0.5219094739567712,tvm
2,2,8,1,1024,64,4,[2; 2; 8; 1; 1024; 64; 4],0.023612732002220582,0.021146299577488436,tvm
16,4,1,1,256,32,2,[16; 4; 1; 1; 256; 32; 2],0.0032818443432915956,0.15214673596039574,tvm
8,2,4,1,256,128,8,[8; 2; 4; 1; 256; 128; 8],0.0024924469689722173,0.20033401351275473,tvm
8,1,2,1,1024,32,2,[8; 1; 2; 1; 1024; 32; 2],0.007877657313656528,0.06338456788368944,tvm
1,1,8,8,256,16,1,[1; 1; 8; 8; 256; 16; 1],0.007125738189643016,0.070073007381558,tvm
32,32,64,2,512,64,4,[32; 32; 64; 2; 512; 64; 4],0.0029852290153939975,0.16726418716521924,tvm
128,32,32,8,128,32,2,[128; 32; 32; 8; 128; 32; 2],0.0008976979920589656,0.556224820795975,tvm
4,4,1,1,1024,128,8,[4; 4; 1; 1; 1024; 128; 8],0.008460133187327301,0.05902057257323735,tvm
256,2,32,8,256,16,1,[256; 2; 32; 8; 256; 16; 1],0.0050161336876044516,0.09954318123454267,tvm
16,1,32,2,128,32,2,[16; 1; 32; 2; 128; 32; 2],0.0016597832036495674,0.3008356173649576,tvm
128,1,8,2,64,64,4,[128; 1; 8; 2; 64; 64; 4],0.0009653587735556357,0.517239723137118,tvm
64,64,32,16,16,16,1,[64; 64; 32; 16; 16; 16; 1],0.0024712311569601297,0.20205390473310575,tvm
256,2,32,8,64,32,2,[256; 2; 32; 8; 64; 32; 2],0.003802866000114591,0.1313014722966465,tvm
32,32,16,8,16,16,1,[32; 32; 16; 8; 16; 16; 1],0.0031686320307926508,0.15758279910999848,tvm
4,2,4,4,512,16,1,[4; 2; 4; 4; 512; 16; 1],0.007411300874082372,0.06737304465779473,tvm
256,2,16,8,128,32,2,[256; 2; 16; 8; 128; 32; 2],0.0039010993441479513,0.12799517795180962,tvm
2,2,32,4,64,64,4,[2; 2; 32; 4; 64; 64; 4],0.003742406093806494,0.13342269445003818,tvm
2,1,32,4,64,16,1,[2; 1; 32; 4; 64; 16; 1],0.005486077407113044,0.09101619749559177,tvm
128,16,8,8,512,16,1,[128; 16; 8; 8; 512; 16; 1],0.0044420357517083175,0.11240834893547978,tvm
128,4,16,8,512,32,2,[128; 4; 16; 8; 512; 32; 2],0.006860578065243317,0.07278131667818809,tvm
256,4,4,4,256,32,2,[256; 4; 4; 4; 256; 32; 2],0.0028526101559691597,0.17504035864033538,tvm
64,16,32,2,256,128,8,[64; 16; 32; 2; 256; 128; 8],0.001803871077754593,0.27680576007873375,tvm
128,4,4,4,32,32,2,[128; 4; 4; 4; 32; 32; 2],0.0027599564691627165,0.18091658703348434,tvm
8,2,64,1,16,16,1,[8; 2; 64; 1; 16; 16; 1],0.002739627562732494,0.18225904555577,tvm
16,2,64,16,64,16,1,[16; 2; 64; 16; 64; 16; 1],0.0050057587195624365,0.09974949507865044,tvm
256,16,32,8,64,16,1,[256; 16; 32; 8; 64; 16; 1],0.0016834438747537206,0.2966073964508933,tvm
8,8,8,4,256,64,4,[8; 8; 8; 4; 256; 64; 4],0.002190111875279399,0.22798922301547028,tvm
8,2,8,4,256,32,2,[8; 2; 8; 4; 256; 32; 2],0.004258252094587078,0.11725982719450148,tvm
1,1,64,8,256,32,2,[1; 1; 64; 8; 256; 32; 2],0.016462141495139804,0.03033152794302746,tvm
64,32,16,1,512,128,8,[64; 32; 16; 1; 512; 128; 8],0.0063106944362516515,0.07912313134566627,tvm
16,1,64,8,1024,16,1,[16; 1; 64; 8; 1024; 16; 1],0.04267534625250846,0.011700476940654105,tvm
16,2,32,16,512,16,1,[16; 2; 32; 16; 512; 16; 1],0.01857980825298,0.026874437990059393,tvm
8,8,2,1,256,32,2,[8; 8; 2; 1; 256; 32; 2],0.0019472963749649352,0.25641803229408056,tvm
8,2,8,2,1024,128,8,[8; 2; 8; 2; 1024; 128; 8],0.008920496940845624,0.05597467361662155,tvm
2,1,32,1,64,64,4,[2; 1; 32; 1; 64; 64; 4],0.001267405328235327,0.3939717576042828,tvm
32,32,32,8,512,16,1,[32; 32; 32; 8; 512; 16; 1],0.00424179343644937,0.1177148091350404,tvm
128,128,16,4,128,64,4,[128; 128; 16; 4; 128; 64; 4],0.001222861109454243,0.4083226630575812,tvm
64,32,8,4,1024,32,2,[64; 32; 8; 4; 1024; 32; 2],0.006967374250962166,0.07166572180229165,tvm
1,1,32,4,128,64,4,[1; 1; 32; 4; 128; 64; 4],0.0018882180147556937,0.2644408118447643,tvm
256,16,4,4,32,32,2,[256; 16; 4; 4; 32; 32; 2],0.0019449252968115616,0.2567306341176572,tvm
512,2,16,8,64,16,1,[512; 2; 16; 8; 64; 16; 1],0.002785211983791669,0.1792760865843142,tvm
32,32,64,16,16,16,1,[32; 32; 64; 16; 16; 16; 1],0.00395556846888212,0.1262326537108376,tvm
8,4,8,4,128,32,2,[8; 4; 8; 4; 128; 32; 2],0.0012612503514901618,0.39589436321818117,tvm
64,64,64,4,64,32,2,[64; 64; 64; 4; 64; 32; 2],0.0007837318830752338,0.6371080666039112,tvm
32,8,16,8,128,16,1,[32; 8; 16; 8; 128; 16; 1],0.002372064327573753,0.21050099651919313,tvm
16,2,32,2,128,32,2,[16; 2; 32; 2; 128; 32; 2],0.0016197329377973801,0.30827421799603316,tvm
256,128,16,16,512,16,1,[256; 128; 16; 16; 512; 16; 1],0.016867006248503458,0.02960346948387522,tvm
32,1,16,2,256,64,4,[32; 1; 16; 2; 256; 64; 4],0.0020446646249183686,0.2442072399926417,tvm
4,4,2,2,256,16,1,[4; 4; 2; 2; 256; 16; 1],0.002013238313338661,0.24801927394966594,tvm
16,4,32,8,64,16,1,[16; 4; 32; 8; 64; 16; 1],0.0016254091251539649,0.30719767536349174,tvm
8,2,16,4,128,16,1,[8; 2; 16; 4; 128; 16; 1],0.0017961412659133202,0.2779970118374873,tvm
32,32,8,2,64,64,4,[32; 32; 8; 2; 64; 64; 4],0.0009847386327237473,0.5070603388239178,tvm
32,2,64,16,16,16,1,[32; 2; 64; 16; 16; 16; 1],0.004052425001646043,0.12321558191924259,tvm
64,8,16,16,64,16,1,[64; 8; 16; 16; 64; 16; 1],0.0015271322031367163,0.32696704564038526,tvm
32,4,4,2,1024,64,4,[32; 4; 4; 2; 1024; 64; 4],0.008118255689623766,0.061506057933123005,tvm
128,128,8,8,64,16,1,[128; 128; 8; 8; 64; 16; 1],0.0018884134533436736,0.26441344392976684,tvm
64,32,16,4,256,64,4,[64; 32; 16; 4; 256; 64; 4],0.001449648914331192,0.3444433337104048,tvm
32,2,8,8,32,32,2,[32; 2; 8; 8; 32; 32; 2],0.0037177523136051605,0.1343074693100533,tvm
64,1,64,4,512,64,4,[64; 1; 64; 4; 512; 64; 4],0.008511929125234019,0.058661426501031504,tvm
64,4,16,4,512,64,4,[64; 4; 16; 4; 512; 64; 4],0.005343918874132214,0.09343740362132433,tvm
4,2,2,2,32,16,1,[4; 2; 2; 2; 32; 16; 1],0.0012028862265651696,0.41510318576654903,tvm
256,16,32,8,512,16,1,[256; 16; 32; 8; 512; 16; 1],0.005131414905918064,0.09730686641340121,tvm
512,8,64,16,256,16,1,[512; 8; 64; 16; 256; 16; 1],0.004009072281405679,0.12454799258117398,tvm
16,8,4,2,1024,32,2,[16; 8; 4; 2; 1024; 32; 2],0.010637256564223208,0.046940853757471444,tvm
32,1,4,2,1024,64,4,[32; 1; 4; 2; 1024; 64; 4],0.00881040318927262,0.056674126488316635,tvm
8,1,16,1,64,16,1,[8; 1; 16; 1; 64; 16; 1],0.001420777695329889,0.3514426686195744,tvm
4,4,64,1,256,128,8,[4; 4; 64; 1; 256; 128; 8],0.0021499720778592746,0.23224576258640492,tvm
8,8,8,2,1024,128,8,[8; 8; 8; 2; 1024; 128; 8],0.010971893374517094,0.045509183120719256,tvm
16,8,32,2,64,32,2,[16; 8; 32; 2; 64; 32; 2],0.0009430109607819759,0.5294974560506174,tvm
1,1,32,2,512,16,1,[1; 1; 32; 2; 512; 16; 1],0.027871173748280853,0.017915352588719156,tvm
16,4,64,2,32,32,2,[16; 4; 64; 2; 32; 32; 2],0.0010551639529694512,0.47321736433158934,tvm
8,2,1,1,32,16,1,[8; 2; 1; 1; 32; 16; 1],0.0019592305934565957,0.25485611873841263,tvm
128,4,16,8,32,32,2,[128; 4; 16; 8; 32; 32; 2],0.0013313631402525061,0.37504561277489135,tvm
