X;time;peak;backend
[1, 32, 16, 4];0.00199487543432042;0.2503022976630143;mlir
[1, 32, 16, 4];0.0019879501778632402;0.25117425492956963;tvm
[1, 32, 32, 1];0.0019834884151350707;0.25173925945410786;jir
[1, 32, 32, 1];0.001995976286707446;0.2501642469839078;mlir
[1, 32, 32, 1];0.001987962139537558;0.25117274360066916;tvm
[1, 32, 32, 4];0.001983722351724282;0.25170957232391244;jir
[1, 32, 32, 4];0.001995437516598031;0.25023179157881403;mlir
[1, 32, 32, 4];0.0019916750316042453;0.2507045059252027;tvm
[1, 32, 64, 1];0.0019826505158562213;0.2518456484229492;jir
[1, 32, 64, 1];0.0019940018246416003;0.25041195980432585;mlir
[1, 32, 64, 1];0.001992560486542061;0.2505930977425134;tvm
[1, 32, 64, 4];0.0019828836084343493;0.2518160433814674;jir
[1, 32, 64, 4];0.0019939951598644257;0.25041279678725714;mlir
[1, 32, 64, 4];0.0019928702677134424;0.2505541443672654;tvm
[1, 32, 128, 1];0.0019814036204479635;0.25200413464926247;jir
[1, 32, 128, 1];0.0020159595587756485;0.24768448483418867;mlir
[1, 32, 128, 1];0.0020259214215911925;0.24646657044068818;tvm
[1, 32, 128, 4];0.001981515029910952;0.2519899658718935;jir
[1, 32, 128, 4];0.002012894197832793;0.24806167422982578;mlir
[1, 32, 128, 4];0.001992975070606917;0.25054096868850806;tvm
[1, 32, 256, 1];0.002165214507840574;0.2306108253726287;jir
[1, 32, 256, 1];0.002020959131186828;0.2470717477936692;mlir
[1, 32, 256, 1];0.0020180040737614036;0.24743354647010565;tvm
[1, 32, 256, 4];0.0021650080161634833;0.23063282031016746;jir
[1, 32, 256, 4];0.0020203367166686803;0.24714786433482896;mlir
[1, 32, 256, 4];0.0020157484395895153;0.24771042604085364;tvm
[1, 32, 512, 1];0.003256586962379515;0.15332675298714007;jir
[1, 32, 512, 1];0.0025401201855856925;0.1965741257423112;mlir
[1, 32, 512, 1];0.003342103271279484;0.14940349361818056;tvm
[1, 32, 512, 4];0.0032584620057605207;0.1532385229225233;jir
[1, 32, 512, 4];0.0025409475492779166;0.19651011879556565;mlir
[1, 32, 512, 4];0.0033194569987244904;0.15042276642046287;tvm
[1, 64, 1, 1];0.0015609554247930646;0.31988223163265517;jir
[1, 64, 1, 1];0.0015767981531098485;0.31666824556910755;mlir
[1, 64, 1, 1];0.0015687357808928937;0.3182957326808091;tvm
[1, 64, 1, 4];0.0015612916904501617;0.31981333649315524;jir
[1, 64, 1, 4];0.0015754875203128904;0.3169316788131333;mlir
[1, 64, 1, 4];0.0015654437593184412;0.318965086921614;tvm
[1, 64, 2, 1];0.0015605529333697632;0.31996473434816425;jir
[1, 64, 2, 1];0.00157105628750287;0.3178255984421517;mlir
[1, 64, 2, 1];0.0015650351997464895;0.3190483542113218;tvm
[1, 64, 2, 4];0.0015606798697263002;0.3199387103323579;jir
[1, 64, 2, 4];0.0015701173397246748;0.3180156617144694;mlir
[1, 64, 2, 4];0.0015691680018790066;0.3182080594072717;tvm
[1, 64, 4, 1];0.0015607938985340297;0.3199153361830099;jir
[1, 64, 4, 1];0.00157008453970775;0.3180223052542424;mlir
[1, 64, 4, 1];0.0015710883308202028;0.31781911619267683;tvm
[1, 64, 4, 4];0.0015641727950423956;0.3192242611203138;jir
[1, 64, 4, 4];0.0015918046119622886;0.31368291121255665;mlir
[1, 64, 4, 4];0.0015657756302971393;0.3188974812867331;tvm
[1, 64, 8, 1];0.0015605906810378656;0.3199569950205216;jir
[1, 64, 8, 1];0.0015697940834797919;0.31808114835994833;mlir
[1, 64, 8, 1];0.0015640355413779616;0.3192522749975281;tvm
[1, 64, 8, 4];0.001560961827635765;0.31988091952138153;jir
[1, 64, 8, 4];0.0015709234867244959;0.31785246638780085;mlir
[1, 64, 8, 4];0.0015640778001397848;0.3192436493359086;tvm
[1, 64, 16, 1];0.0015601197810610756;0.32005356949086544;jir
[1, 64, 16, 1];0.001569878775626421;0.3180639884520146;mlir
[1, 64, 16, 1];0.0015664503443986177;0.31876012319662866;tvm
[1, 64, 16, 4];0.0015604463696945459;0.31998658490239945;jir
[1, 64, 16, 4];0.001571532222442329;0.3177293456865334;mlir
[1, 64, 16, 4];0.0015633237198926508;0.3193976387668396;tvm
[1, 64, 32, 1];0.0015591298579238355;0.32025677798692825;jir
[1, 64, 32, 1];0.0015717766364105046;0.31767993822723783;mlir
[1, 64, 32, 1];0.0015681579534430057;0.3184130167918397;tvm
[1, 64, 32, 4];0.0015592249255860224;0.3202372515782087;jir
[1, 64, 32, 4];0.0015737589565105736;0.31727978588857675;mlir
[1, 64, 32, 4];0.0015631525311619043;0.31943261761586034;tvm
[1, 64, 64, 1];0.00156067666830495;0.31993936662372097;jir
[1, 64, 64, 1];0.0015757710789330304;0.3168746472361965;mlir
[1, 64, 64, 1];0.00157281564315781;0.31747007790397774;tvm
[1, 64, 64, 4];0.0015606324741384014;0.31994842670281604;jir
[1, 64, 64, 4];0.0015760238165967166;0.3168238319140037;mlir
[1, 64, 64, 4];0.001572111010318622;0.3176123705543583;tvm
[1, 64, 128, 1];0.0015931617526803166;0.31341569926710294;jir
[1, 64, 128, 1];0.0015925249899737537;0.31354101687919766;mlir
