X;time;peak
[4, 1, 4, 2, 64, 2, 128];0.018158;0.02749872809571014
[1, 2, 8, 4, 32, 1, 8];0.03265;0.015293167067745935
[16, 4, 2, 128, 1, 2, 2];0.0184019;0.027134258134317912
[1, 16, 8, 1, 1, 8, 64];0.00442791;0.11276694981648334
[4, 32, 1, 2, 128, 1, 1];0.0323799;0.015420736468052858
[2, 2, 2, 1, 1, 8, 1];0.0062511;0.07987744633135045
[16, 2, 1, 64, 1, 2, 2];0.0195389;0.025555272034858908
[2, 1, 32, 2, 32, 4, 16];0.0167041;0.029892176457390986
[2, 1, 2, 1, 8, 2, 128];0.018832;0.026514544645385767
[4, 8, 4, 64, 4, 1, 2];0.0297489;0.01678455017704536
[1, 8, 32, 2, 4, 32, 4];0.00602794;0.08283458441223782
[16, 1, 8, 4, 2, 1, 2];0.049731;0.010040455747157805
[1, 64, 1, 2, 16, 1, 1];0.036382;0.013724421548070607
[1, 2, 2, 1, 2, 2, 8];0.016557;0.03015775229582079
[2, 8, 1, 16, 8, 1, 32];0.0434999;0.011478690865080259
[4, 2, 32, 32, 1, 1, 1];0.167676;0.0029778972826278345
[64, 1, 1, 8, 8, 4, 128];0.014977;0.033339247163110416
[128, 2, 1, 8, 1, 4, 32];0.0139661;0.0357524222769352
[16, 2, 4, 2, 1, 1, 8];0.0336609;0.014833884559292972
[4, 4, 4, 32, 2, 2, 16];0.0261362;0.0191046098806217
[1, 1, 4, 1, 32, 1, 4];0.0294549;0.016952082837215703
[2, 8, 8, 4, 1, 16, 32];0.00211501;0.23608489073900585
[4, 4, 1, 1, 4, 64, 32];0.00197196;0.2532109701829169
[64, 2, 1, 1, 2, 1, 1];0.0289671;0.017237552421951276
[2, 8, 8, 1, 64, 4, 4];0.00816894;0.06112444267700642
[32, 2, 1, 2, 16, 8, 32];0.0056591;0.08823344785600268
[4, 8, 4, 16, 4, 2, 4];0.0154848;0.032245938259577445
[2, 32, 1, 1, 8, 32, 128];0.00236583;0.21105569916769368
[2, 4, 2, 1, 2, 8, 16];0.00668502;0.07469265683003264
[2, 1, 1, 16, 1, 8, 2];0.00800204;0.06239932626704
[2, 32, 4, 4, 16, 1, 32];0.0472581;0.010565848071799434
[2, 32, 2, 4, 32, 1, 2];0.0283029;0.017642075715276696
[1, 8, 2, 16, 8, 2, 128];0.0186081;0.026833578106410908
[8, 4, 2, 4, 1, 32, 32];0.00184083;0.2712482438692898
[1, 16, 2, 8, 4, 4, 2];0.00812888;0.061425670542793694
