X;time;peak
[1, 64, 2, 4];0.00178695;0.27942690324961794
[1, 128, 4, 4];0.00174904;0.2854834107635644
[2, 32, 2, 5];0.03899;0.01280640945785855
[4, 16, 8, 2];0.026938;0.018535967954633036
[4, 1, 1, 5];0.0204661;0.02439751123867785
[8, 4, 4, 2];0.0292408;0.017076205328236737
[1, 2, 32, 2];0.039804;0.01254451574620402
[8, 8, 64, 1];0.00634098;0.07874522625239391
[8, 1, 32, 0];0.03689;0.01353542707405543
[16, 1, 4, 4];0.034837;0.01433309139024327
[1, 64, 8, 0];0.0266778;0.018716757182447755
[4, 16, 2, 2];0.032589;0.015321792775534837
[256, 1, 2, 3];0.11127;0.004487480046390805
[2, 4, 128, 4];0.010128;0.04930113593620703
[16, 1, 2, 0];0.0280678;0.017789848323057196
[64, 4, 2, 3];0.173027;0.002885803399249278
[16, 16, 1, 1];0.00252604;0.19766983292501497
[1, 32, 4, 5];0.033838;0.014756247554876315
[64, 16, 2, 1];0.00367212;0.13597646720747272
[32, 2, 4, 4];0.0304892;0.016377009064255696
[4, 8, 8, 2];0.0273361;0.018266025686250225
[256, 1, 1, 0];0.146639;0.003405109860009307
[8, 16, 1, 1];0.00196815;0.2537011430845742
[1, 256, 2, 1];0.00182509;0.27358755171630156
[8, 128, 8, 4];0.00299406;0.16677084118618354
[4, 8, 1, 2];0.0338631;0.01474530993210618
[1, 2, 8, 1];0.030751;0.01623758267249536
[1, 32, 32, 1];0.00231791;0.21541902177474742
[16, 1, 1, 3];0.0317221;0.015740505980433347
[32, 1, 8, 5];0.0587142;0.008504278432847671
[2, 2, 256, 4];0.020134;0.024799935669112188
[128, 1, 2, 1];0.0585158;0.008533112505714778
[4, 32, 8, 4];0.00195384;0.2555592601041563
[8, 32, 2, 4];0.00200415;0.24914397862530485
[128, 128, 1, 4];0.00383592;0.13017005171168972
[1, 16, 16, 1];0.0045979;0.10859781743011043
[1, 32, 2, 1];0.00232601;0.21466885557753612
[64, 1, 4, 5];0.208857;0.002390735789376965
[32, 64, 1, 4];0.00797415;0.06261757112192583
[4, 8, 2, 0];0.0276039;0.018088817332402477
[2, 2, 64, 3];0.0356638;0.014000804871099119
[4, 2, 2, 2];0.030772;0.01622650151962514
[128, 32, 4, 4];0.00493693;0.10114016296806007
[32, 1, 4, 1];0.0368061;0.013566281262125158
[16, 16, 64, 1];0.00330114;0.15125741554793337
[4, 4, 32, 2];0.0365989;0.013643085031569387
[32, 8, 32, 1];0.00513601;0.09721980774217823
[4, 128, 16, 1];0.00177002;0.2820995834860085
[2, 64, 4, 1];0.00113797;0.4387830125239723
[128, 1, 1, 2];0.159104;0.0031383365896640236
[32, 4, 32, 1];0.00985312;0.05067652730930962
[4, 32, 8, 3];0.0273221;0.018275385302077982
[8, 64, 2, 5];0.060636;0.00823474346529957
[128, 4, 1, 3];0.159179;0.0031368579068966687
[4, 1, 32, 1];0.037396;0.013352281119956807
[16, 2, 16, 5];0.0424149;0.011772323045955662
[4, 8, 2, 5];0.0352161;0.014178796197247986
[2, 2, 128, 1];0.0272419;0.018329187933363855
[4, 8, 32, 1];0.00492883;0.10130637590704178
[2, 32, 16, 4];0.00242305;0.20607164720575505
[2, 8, 32, 0];0.0366051;0.01364077422987247
[16, 64, 8, 1];0.00163913;0.30462617654603646
[4, 1, 16, 4];0.0381949;0.013072999399446126
[4, 16, 2, 0];0.032572;0.015329789535856097
[8, 1, 1, 2];0.0185158;0.026967341662898974
[256, 4, 2, 4];0.030333;0.01646134258932202
[2, 16, 1, 0];0.0340009;0.014685549640212604
[32, 16, 4, 1];0.00417709;0.11953822033087744
[2, 1, 128, 1];0.053988;0.009248757219417366
[2, 8, 8, 1];0.00503516;0.09916703833878263
[1, 1, 16, 3];0.0618551;0.008072445194687338
[2, 256, 32, 1];0.00215101;0.23213369754761937
[32, 2, 8, 3];0.061888;0.00806815383857783
[1, 32, 128, 1];0.00227308;0.2196675456921467
[64, 128, 1, 1];0.00381207;0.13098445326604832
[4, 16, 1, 0];0.039418;0.01266735767319257
[2, 8, 128, 4];0.00546503;0.09136672712901937
[8, 64, 2, 2];0.0342679;0.01457112647001727
[8, 32, 4, 2];0.029099;0.017159418013055594
[1, 16, 64, 5];0.03353;0.014891795549117352
[2, 2, 512, 1];0.0315809;0.015810882677881402
[1, 256, 1, 2];0.0403109;0.012386771438045412
[64, 2, 4, 1];0.020319;0.024574137741124307
[2, 8, 8, 5];0.0309958;0.016109340773972757
[4, 8, 4, 4];0.00543404;0.09188778602327269
[8, 8, 1, 4];0.0027051;0.18458537753203383
[32, 2, 4, 1];0.018899;0.026420546312604095
[64, 4, 2, 4];0.0472538;0.010566809542553292
[1, 16, 4, 3];0.025645;0.019470536352579636
[1, 2, 32, 1];0.0310159;0.016098901039850684
[1, 64, 1, 4];0.0019269;0.2591322355918339
[8, 8, 128, 4];0.004462;0.11190540223260977
[1, 4, 4, 2];0.039674;0.012585620425515571
[64, 1, 8, 3];0.184004;0.002713647011814443
[2, 1, 64, 3];0.0401669;0.012431178526645192
[4, 128, 32, 1];0.00183487;0.27212930875860675
[2, 1, 32, 0];0.0397189;0.012571393083945042
[2, 2, 4, 2];0.0361619;0.013807955465888264
[4, 64, 1, 3];0.0405478;0.012314401885229403
[2, 1, 128, 3];0.040139;0.012439819247163725
[8, 1, 16, 1];0.0304482;0.016399061513058397
[1, 4, 1, 3];0.032084;0.015562956762308464
[1, 256, 4, 1];0.00186205;0.26815708749061773
[1, 32, 8, 2];0.0269771;0.018509102340944904
[1, 128, 64, 4];0.00217891;0.22916132596660935
[32, 128, 1, 4];0.0107598;0.04640624405304046
[2, 2, 64, 0];0.046288;0.010787286224548581
[4, 2, 64, 5];0.0333989;0.014950250001104969
[2, 16, 2, 3];0.0275941;0.01809524154663152
