i1,i2,i3,j1,j2,j3,k1,ku,nvr,X,time,peak,backend
197,197,1,192,192,192,96,8,12,[197; 197; 1; 192; 192; 192; 96; 8; 12],0.005325075999280671,0.324708444178208,tvm
197,1,1,384,384,64,384,48,4,[197; 1; 1; 384; 384; 64; 384; 48; 4],0.014919183129677549,0.11589757480874317,tvm
1,1,1,96,96,16,96,32,1,[1; 1; 1; 96; 96; 16; 96; 32; 1],0.026971389743266627,0.06410856686718598,tvm
1,1,1,768,768,16,3,3,1,[1; 1; 1; 768; 768; 16; 3; 3; 1],0.021120778750628233,0.0818671112117829,tvm
197,197,1,384,384,192,256,16,12,[197; 197; 1; 384; 384; 192; 256; 16; 12],0.005476255688336096,0.31574441393230696,tvm
197,197,1,96,48,16,256,16,1,[197; 197; 1; 96; 48; 16; 256; 16; 1],0.012929104872455355,0.1337368023474599,tvm
1,1,1,192,48,16,48,12,1,[1; 1; 1; 192; 48; 16; 48; 12; 1],0.026025707251392305,0.06643804628074577,tvm
197,197,1,384,192,32,192,12,2,[197; 197; 1; 384; 192; 32; 192; 12; 2],0.006977780249144416,0.2478004581857041,tvm
197,197,1,384,96,96,12,12,6,[197; 197; 1; 384; 96; 96; 12; 12; 6],0.0038670727499265922,0.44713333693811835,tvm
1,1,1,768,32,16,96,4,1,[1; 1; 1; 768; 32; 16; 96; 4; 1],0.026880615754635073,0.06432505708352278,tvm
1,1,1,128,128,32,192,4,2,[1; 1; 1; 128; 128; 32; 192; 4; 2],0.021251150625175796,0.0813648716417603,tvm
197,1,1,32,32,32,96,4,2,[197; 1; 1; 32; 32; 32; 96; 4; 2],0.007601954999699956,0.22745427234512558,tvm
197,1,1,384,384,64,32,4,4,[197; 1; 1; 384; 384; 64; 32; 4; 4],0.01625650037021842,0.10636343022664423,tvm
1,1,1,96,96,16,192,2,1,[1; 1; 1; 96; 96; 16; 192; 2; 1],0.02767404876067303,0.06248081579282045,tvm
197,1,1,768,768,48,48,3,3,[197; 1; 1; 768; 768; 48; 48; 3; 3],0.02133785824844381,0.08103424077171605,tvm
197,1,1,768,192,192,6,2,12,[197; 1; 1; 768; 192; 192; 6; 2; 12],0.022312405752018094,0.07749487715822624,tvm
197,1,1,768,128,128,128,64,8,[197; 1; 1; 768; 128; 128; 128; 64; 8],0.022997304622549564,0.07518694782873424,tvm
197,1,1,128,128,128,256,64,8,[197; 1; 1; 128; 128; 128; 256; 64; 8],0.0075198990634817164,0.2299362169971162,tvm
197,1,1,128,64,16,96,6,1,[197; 1; 1; 128; 64; 16; 96; 6; 1],0.012227005372551503,0.14141624135855915,tvm
197,197,1,768,384,96,16,4,6,[197; 197; 1; 768; 384; 96; 16; 4; 6],0.00304112034427817,0.5685724164485689,tvm
197,197,1,768,96,96,384,64,6,[197; 197; 1; 768; 96; 96; 384; 64; 6],0.005972137467324501,0.28952735135746516,tvm
