i1,i2,i3,j1,j2,j3,k1,ku,nvr,X,time,peak,backend
4,1,1,256,256,128,64,1,8,[4; 1; 1; 256; 256; 128; 64; 1; 8],0.04987890800111927,0.08008545892796211,tvm
16,4,2,128,128,64,256,2,4,[16; 4; 2; 128; 128; 64; 256; 2; 4],0.018918153131380677,0.211150380819637,tvm
2,2,2,64,64,64,1024,64,4,[2; 2; 2; 64; 64; 64; 1024; 64; 4],0.025020889996085316,0.15964960633775283,tvm
64,8,2,32,32,32,8,8,2,[64; 8; 2; 32; 32; 32; 8; 8; 2],0.012008703932224307,0.33263999684230244,tvm
8,4,1,128,128,16,1024,32,1,[8; 4; 1; 128; 128; 16; 1024; 32; 1],0.06531601003371179,0.061157673838826095,tvm
16,4,1,64,64,16,1024,4,1,[16; 4; 1; 64; 64; 16; 1024; 4; 1],0.06556339102098718,0.060926916315487,tvm
32,4,4,256,64,64,512,8,4,[32; 4; 4; 256; 64; 64; 512; 8; 4],0.012460386496968567,0.3205819690317841,tvm
8,8,1,256,256,128,2048,1,8,[8; 8; 1; 256; 256; 128; 2048; 1; 8],0.04904282549978234,0.0814507565049034,tvm
4,2,2,512,64,64,4096,4,4,[4; 2; 2; 512; 64; 64; 4096; 4; 4],0.024611462125903927,0.16230548261051458,tvm
64,1,1,64,32,16,128,32,1,[64; 1; 1; 64; 32; 16; 128; 32; 1],0.06382990500424057,0.06258156326301687,tvm
8,8,2,512,256,128,8,2,8,[8; 8; 2; 512; 256; 128; 8; 2; 8],0.012886188254924491,0.30998889346263436,tvm
16,16,1,64,64,16,512,4,1,[16; 16; 1; 64; 64; 16; 512; 4; 1],0.06565232150023803,0.06084438671495806,tvm
8,8,1,1024,128,16,64,1,1,[8; 8; 1; 1024; 128; 16; 64; 1; 1],0.03276652126805857,0.12191026338793025,tvm
32,16,1,512,512,32,512,64,2,[32; 16; 1; 512; 512; 32; 512; 64; 2],0.04905142023926601,0.08143648478698998,tvm
