kc,ku,mc,mr,nc,nr,nvr,X,time,peak,backend
8,8,197,1,768,48,3,[8; 8; 197; 1; 768; 48; 3],0.017180804497911595,0.40256488409895413,tvm
8,2,1,1,96,96,6,[8; 2; 1; 1; 96; 96; 6],0.012981044113985263,0.5328067997224605,tvm
6,2,1,1,32,16,1,[6; 2; 1; 1; 32; 16; 1],0.017958658121642657,0.38512836118269717,tvm
32,8,1,1,256,128,8,[32; 8; 1; 1; 256; 128; 8],0.012880206879344769,0.5369780653539018,tvm
24,1,197,1,384,32,2,[24; 1; 197; 1; 384; 32; 2],0.0268336484732572,0.25775058424580405,tvm
2,1,1,1,192,48,3,[2; 1; 1; 1; 192; 48; 3],0.024606569262687117,0.2810789467476247,tvm
12,3,1,1,768,48,3,[12; 3; 1; 1; 768; 48; 3],0.01827734000107739,0.37841330144434976,tvm
2,1,197,1,384,48,3,[2; 1; 197; 1; 384; 48; 3],0.02797524750349112,0.2472324354079603,tvm
12,4,197,1,384,128,8,[12; 4; 197; 1; 384; 128; 8],0.014818565497989766,0.4667380639756813,tvm
16,1,1,1,256,32,2,[16; 1; 1; 1; 256; 32; 2],0.015721856747404672,0.43992186689847,tvm
12,6,1,1,256,64,4,[12; 6; 1; 1; 256; 64; 4],0.012524522127932869,0.552227741767749,tvm
12,3,1,1,192,16,1,[12; 3; 1; 1; 192; 16; 1],0.017748884492903017,0.3896801837993889,tvm
24,2,197,1,128,64,4,[24; 2; 197; 1; 128; 64; 4],0.014744185624294914,0.46909261370339816,tvm
6,3,197,1,96,32,2,[6; 3; 197; 1; 96; 32; 2],0.016639473251416348,0.41566150964783993,tvm
2,1,197,1,32,32,2,[2; 1; 197; 1; 32; 32; 2],0.023485066878492944,0.2945015488868985,tvm
12,3,197,1,256,128,8,[12; 3; 197; 1; 256; 128; 8],0.015045355365145952,0.45970257289176875,tvm
16,4,1,1,384,96,6,[16; 4; 1; 1; 384; 96; 6],0.012740081510855816,0.5428841695820487,tvm
16,4,1,1,16,16,1,[16; 4; 1; 1; 16; 16; 1],0.023905600741272792,0.2893208435246512,tvm
8,4,1,1,256,128,8,[8; 4; 1; 1; 256; 128; 8],0.013895215626689605,0.49775323803854715,tvm
4,2,197,1,384,64,4,[4; 2; 197; 1; 384; 64; 4],0.01556175337464083,0.44444789767067,tvm
8,4,197,1,384,16,1,[8; 4; 197; 1; 384; 16; 1],0.024625936246593483,0.2808578931647855,tvm
4,1,197,1,96,16,1,[4; 1; 197; 1; 96; 16; 1],0.029573923238785937,0.23386780697252196,tvm
6,2,1,1,768,96,6,[6; 2; 1; 1; 768; 96; 6],0.013954811249277554,0.49562752572426483,tvm
3,1,1,1,128,16,1,[3; 1; 1; 1; 128; 16; 1],0.01967708725715056,0.35149453173844053,tvm
2,1,197,1,192,32,2,[2; 1; 197; 1; 192; 32; 2],0.029957581748021767,0.23087272629691785,tvm
12,4,197,1,384,96,6,[12; 4; 197; 1; 384; 96; 6],0.01443793362705037,0.47904282912551177,tvm
3,1,197,1,32,16,1,[3; 1; 197; 1; 32; 16; 1],0.029013923747697845,0.23838170361143804,tvm
16,4,197,1,384,192,12,[16; 4; 197; 1; 384; 192; 12],0.01199075706244912,0.5768099991858141,tvm
6,6,197,1,192,32,2,[6; 6; 197; 1; 192; 32; 2],0.016130957010318525,0.42876492492071916,tvm
6,6,1,1,256,64,4,[6; 6; 1; 1; 256; 64; 4],0.017479266127338633,0.3956910159180493,tvm
4,1,1,1,128,16,1,[4; 1; 1; 1; 128; 16; 1],0.017037368495948613,0.4059540399723847,tvm
16,2,1,1,192,96,6,[16; 2; 1; 1; 192; 96; 6],0.016493943621753715,0.4193289809907321,tvm
16,2,1,1,256,128,8,[16; 2; 1; 1; 256; 128; 8],0.011911702938959934,0.5806381007712129,tvm
6,2,197,1,768,192,12,[6; 2; 197; 1; 768; 192; 12],0.013338586373720318,0.5185248554565901,tvm
12,3,197,1,768,96,6,[12; 3; 197; 1; 768; 96; 6],0.011708229125360958,0.5907288367330565,tvm
8,8,1,1,768,48,3,[8; 8; 1; 1; 768; 48; 3],0.014732978379470296,0.46944944825726675,tvm
4,4,197,1,256,32,2,[4; 4; 197; 1; 256; 32; 2],0.019393530252273194,0.3566338093920715,tvm
24,24,1,1,384,32,2,[24; 24; 1; 1; 384; 32; 2],0.020857327501289546,0.3316047356019582,tvm
24,6,197,1,768,32,2,[24; 6; 197; 1; 768; 32; 2],0.017301442872849293,0.3997579058728264,tvm
16,1,197,1,768,128,8,[16; 1; 197; 1; 768; 128; 8],0.012171362373919692,0.5682509779060338,tvm
24,24,1,1,256,64,4,[24; 24; 1; 1; 256; 64; 4],0.014134802127955481,0.489316264127214,tvm
6,6,1,1,384,32,2,[6; 6; 1; 1; 384; 32; 2],0.0155836166231893,0.443824353400519,tvm
12,4,197,1,768,64,4,[12; 4; 197; 1; 768; 64; 4],0.013271710864501074,0.5211376771270989,tvm
24,24,197,1,256,32,2,[24; 24; 197; 1; 256; 32; 2],0.016904005751712248,0.40915678052984533,tvm
2,2,1,1,384,16,1,[2; 2; 1; 1; 384; 16; 1],0.024805884619127028,0.27882047657738296,tvm
12,1,1,1,384,32,2,[12; 1; 1; 1; 384; 32; 2],0.015808016003575176,0.4375241377453278,tvm
2,1,197,1,64,64,4,[2; 1; 197; 1; 64; 64; 4],0.026528037240495905,0.2607199510738955,tvm
4,4,1,1,128,16,1,[4; 4; 1; 1; 128; 16; 1],0.01462990562140476,0.4727568824032141,tvm
24,24,1,1,384,64,4,[24; 24; 1; 1; 384; 64; 4],0.018969944241689518,0.3645972008831048,tvm
24,8,1,1,384,48,3,[24; 8; 1; 1; 384; 48; 3],0.01972908462630585,0.3505681435522142,tvm
6,3,197,1,128,32,2,[6; 3; 197; 1; 128; 32; 2],0.016133950237417594,0.4286853789463287,tvm
12,1,197,1,768,48,3,[12; 1; 197; 1; 768; 48; 3],0.019533866245183162,0.35407166633661563,tvm
12,2,1,1,128,32,2,[12; 2; 1; 1; 128; 32; 2],0.017449089747969992,0.39637532222752286,tvm
8,8,1,1,384,32,2,[8; 8; 1; 1; 384; 32; 2],0.015297324251150712,0.45213061172500796,tvm
16,4,1,1,768,96,6,[16; 4; 1; 1; 768; 96; 6],0.023296946616028436,0.2968796162613883,tvm
2,1,197,1,16,16,1,[2; 1; 197; 1; 16; 16; 1],0.0385158842545934,0.17957236878454175,tvm
32,16,1,1,256,128,8,[32; 16; 1; 1; 256; 128; 8],0.013617019125376828,0.5079223659559318,tvm
2,1,197,1,256,32,2,[2; 1; 197; 1; 256; 32; 2],0.032507079013157636,0.21276561233413432,tvm
24,2,1,1,384,64,4,[24; 2; 1; 1; 384; 64; 4],0.019546347131836228,0.3538455817232194,tvm
2,2,197,1,768,64,4,[2; 2; 197; 1; 768; 64; 4],0.026265468244673684,0.2633263000301215,tvm
6,1,1,1,384,16,1,[6; 1; 1; 1; 384; 16; 1],0.02150751050794497,0.3215801554007669,tvm
1,1,1,1,128,64,4,[1; 1; 1; 1; 128; 64; 4],0.04993778624339029,0.13850010366336607,tvm
1,1,197,1,256,128,8,[1; 1; 197; 1; 256; 128; 8],0.0508553099934943,0.13600130590715806,tvm
16,8,1,1,256,128,8,[16; 8; 1; 1; 256; 128; 8],0.011506997187098023,0.6010593779568684,tvm
64,2,1,1,768,128,8,[64; 2; 1; 1; 768; 128; 8],0.020985750001273118,0.3295754772171108,tvm
12,6,1,1,768,16,1,[12; 6; 1; 1; 768; 16; 1],0.019159099625539966,0.36099757851922776,tvm
24,8,1,1,384,128,8,[24; 8; 1; 1; 384; 128; 8],0.018592016756883822,0.3720085164439049,tvm
8,4,197,1,768,64,4,[8; 4; 197; 1; 768; 64; 4],0.013218436506576836,0.52323802198447,tvm
24,1,197,1,768,96,6,[24; 1; 197; 1; 768; 96; 6],0.024907638871809468,0.27768142163232334,tvm
16,4,197,1,48,48,3,[16; 4; 197; 1; 48; 48; 3],0.015098857504199259,0.4580736369957132,tvm
24,2,197,1,256,16,1,[24; 2; 197; 1; 256; 16; 1],0.021401146877906285,0.3231784077221012,tvm
2,2,197,1,32,16,1,[2; 2; 197; 1; 32; 16; 1],0.03660510975169018,0.18894598645778457,tvm
24,4,197,1,192,32,2,[24; 4; 197; 1; 192; 32; 2],0.016132635617395863,0.4287203117617441,tvm
2,2,1,1,256,128,8,[2; 2; 1; 1; 256; 128; 8],0.02494174761523027,0.27730168222876217,tvm
6,3,1,1,768,64,4,[6; 3; 1; 1; 768; 64; 4],0.01428108174877707,0.4843042490125681,tvm
12,6,197,1,32,32,2,[12; 6; 197; 1; 32; 32; 2],0.015525213384535164,0.4454939458879233,tvm
3,1,197,1,768,32,2,[3; 1; 197; 1; 768; 32; 2],0.023136192874517292,0.2989423804054829,tvm
8,8,1,1,384,16,1,[8; 8; 1; 1; 384; 16; 1],0.01556155075377319,0.4444536846529619,tvm
24,4,1,1,32,16,1,[24; 4; 1; 1; 32; 16; 1],0.02747530199121684,0.25173112104971823,tvm
6,6,197,1,192,192,12,[6; 6; 197; 1; 192; 192; 12],0.019602123997174203,0.35283873178363845,tvm
16,8,1,1,768,64,4,[16; 8; 1; 1; 768; 64; 4],0.023152622001362033,0.2987302505531205,tvm
6,1,197,1,384,32,2,[6; 1; 197; 1; 384; 32; 2],0.016225582745391876,0.42626441712195823,tvm
2,2,197,1,192,48,3,[2; 2; 197; 1; 192; 48; 3],0.028243781736819074,0.2448818163189616,tvm
64,1,1,1,768,128,8,[64; 1; 1; 1; 768; 128; 8],0.022400899746571667,0.30875494509934076,tvm
12,2,1,1,128,64,4,[12; 2; 1; 1; 128; 64; 4],0.016740400504204445,0.4131555018466542,tvm
16,2,1,1,192,48,3,[16; 2; 1; 1; 192; 48; 3],0.01555082612321712,0.4447602022314763,tvm
16,8,197,1,768,64,4,[16; 8; 197; 1; 768; 64; 4],0.011908167813089676,0.5808104722731527,tvm
