i1,i2,i3,j1,j2,j3,k1,ku,nvr,X,time,peak,backend
150,2,2,256,32,16,256,4,1,[150; 2; 2; 256; 32; 16; 256; 4; 1],0.22471027704887092,0.1627492478391403,tvm
150,150,15,160,160,16,160,8,1,[150; 150; 15; 160; 160; 16; 160; 8; 1],0.07068385498132557,0.5173943693519634,tvm
30,6,2,1280,1280,32,256,64,2,[30; 6; 2; 1280; 1280; 32; 256; 64; 2],0.2012462440179661,0.18172477578346102,tvm
500,500,10,128,32,32,8,8,2,[500; 500; 10; 128; 32; 32; 8; 8; 2],0.07281899097142741,0.5022237754678365,tvm
20,10,10,128,64,16,640,8,1,[20; 10; 10; 128; 64; 16; 640; 8; 1],0.11746068100910634,0.3113503876977634,tvm
500,10,2,64,32,16,256,1,1,[500; 10; 2; 64; 32; 16; 256; 1; 1],0.19921172701288015,0.18358070139647967,tvm
1500,12,2,160,160,32,8,4,2,[1500; 12; 2; 160; 160; 32; 8; 4; 2],0.0827946015051566,0.44171271926649514,tvm
300,12,1,640,64,64,32,32,4,[300; 12; 1; 640; 64; 64; 32; 32; 4],0.1128651270410046,0.32402770926879787,tvm
12,6,2,320,160,160,32,8,10,[12; 6; 2; 320; 160; 160; 32; 8; 10],0.14326780301053077,0.255266206383722,tvm
150,6,3,640,80,80,1280,20,5,[150; 6; 3; 640; 80; 80; 1280; 20; 5],0.15051484503783286,0.24297555873798438,tvm
375,75,1,160,16,16,8,8,1,[375; 75; 1; 160; 16; 16; 8; 8; 1],0.09660045400960371,0.3785844377894203,tvm
500,500,20,64,16,16,40,5,1,[500; 500; 20; 64; 16; 16; 40; 5; 1],0.09067234699614346,0.40333607525328596,tvm
250,2,1,640,16,16,640,10,1,[250; 2; 1; 640; 16; 16; 640; 10; 1],0.4646835479652509,0.07870179336360622,tvm
250,50,2,64,64,16,80,20,1,[250; 50; 2; 64; 64; 16; 80; 20; 1],0.13387542497366667,0.273175069872773,tvm
750,250,1,1280,16,16,8,2,1,[750; 250; 1; 1280; 16; 16; 8; 2; 1],0.1111726249800995,0.3289607363141336,tvm
100,20,4,320,320,80,160,16,5,[100; 20; 4; 320; 320; 80; 160; 16; 5],0.09523194102803245,0.38402481537852323,tvm
20,20,2,80,80,80,64,8,5,[20; 20; 2; 80; 80; 80; 64; 8; 5],0.10161458305083215,0.35990334726988854,tvm
500,1,1,160,80,16,640,8,1,[500; 1; 1; 160; 80; 16; 640; 8; 1],0.4362760219955817,0.08382635471036487,tvm
60,20,10,640,64,32,32,8,2,[60; 20; 10; 640; 64; 32; 32; 8; 2],0.08760490251006559,0.417458698355684,tvm
60,60,1,1280,640,64,640,10,4,[60; 60; 1; 1280; 640; 64; 640; 10; 4],0.38776990002952516,0.09431219021549633,tvm
750,750,10,640,128,16,320,32,1,[750; 750; 10; 640; 128; 16; 320; 32; 1],0.07340848498279229,0.4981907551967773,tvm
500,50,5,640,16,16,1280,5,1,[500; 50; 5; 640; 16; 16; 1280; 5; 1],0.11707407596986741,0.3123785369943159,tvm
1500,500,10,128,128,16,32,16,1,[1500; 500; 10; 128; 128; 16; 32; 16; 1],0.06218940299004316,0.5880652782160305,tvm
75,5,5,64,32,32,20,10,2,[75; 5; 5; 64; 32; 32; 20; 10; 2],0.09396422852296382,0.38920586212753205,tvm
12,6,3,320,320,64,80,16,4,[12; 6; 3; 320; 320; 64; 80; 16; 4],0.1050107820192352,0.34826355797188197,tvm
750,5,1,1280,640,32,8,1,2,[750; 5; 1; 1280; 640; 32; 8; 1; 2],0.1532901159953326,0.23857656009955727,tvm
250,250,2,256,64,16,32,8,1,[250; 250; 2; 256; 64; 16; 32; 8; 1],0.1355869040125981,0.2697268503750962,tvm
1500,375,3,128,64,16,80,4,1,[1500; 375; 3; 128; 64; 16; 80; 4; 1],0.09845883201342076,0.37143878130144364,tvm
750,75,5,320,16,16,8,2,1,[750; 75; 5; 320; 16; 16; 8; 2; 1],0.1098138780798763,0.33303102677812074,tvm
3,1,1,256,128,32,160,5,2,[3; 1; 1; 256; 128; 32; 160; 5; 2],0.3976467651082203,0.09196963682447057,tvm
12,6,1,640,128,64,80,5,4,[12; 6; 1; 640; 128; 64; 80; 5; 4],0.1945553709520027,0.18797439717277625,tvm
15,5,1,32,32,16,32,2,1,[15; 5; 1; 32; 32; 16; 32; 2; 1],0.24510993901640177,0.1492041845311763,tvm
750,30,5,640,32,16,64,16,1,[750; 30; 5; 640; 32; 16; 64; 16; 1],0.08298949198797345,0.44067541197539056,tvm
150,50,1,640,128,128,64,1,8,[150; 50; 1; 640; 128; 128; 64; 1; 8],0.13135862501803786,0.2784090391202456,tvm
1500,1500,6,64,16,16,320,16,1,[1500; 1500; 6; 64; 16; 16; 320; 16; 1],0.07789494650205597,0.4694968058096465,tvm
500,50,2,256,256,16,40,4,1,[500; 50; 2; 256; 256; 16; 40; 4; 1],0.1272621889365837,0.28737073342069075,tvm
300,50,1,1280,640,32,256,64,2,[300; 50; 1; 1280; 640; 32; 256; 64; 2],0.14950722607318312,0.24461311691735235,tvm
750,50,25,640,64,16,128,4,1,[750; 50; 25; 640; 64; 16; 128; 4; 1],0.11456623498816043,0.31921646526315506,tvm
25,25,5,256,128,64,256,1,4,[25; 25; 5; 256; 128; 64; 256; 1; 4],0.11497885605785996,0.31807090299302515,tvm
125,1,1,320,80,80,640,32,5,[125; 1; 1; 320; 80; 80; 640; 32; 5],0.3687125350115821,0.09918683282704176,tvm
1500,1500,10,1280,160,16,256,32,1,[1500; 1500; 10; 1280; 160; 16; 256; 32; 1],0.07015178148867562,0.5213186008302895,tvm
1500,300,10,320,160,16,640,8,1,[1500; 300; 10; 320; 160; 16; 640; 8; 1],0.07324675598647445,0.49929076146637474,tvm
60,4,4,256,64,64,256,1,4,[60; 4; 4; 256; 64; 64; 256; 1; 4],0.10643174697179347,0.34361390855606955,tvm
60,6,1,640,80,80,40,10,5,[60; 6; 1; 640; 80; 80; 40; 10; 5],0.2414258539211005,0.151480995003047,tvm
25,5,5,320,320,32,5,1,2,[25; 5; 5; 320; 320; 32; 5; 1; 2],0.12621953594498336,0.2897445969645249,tvm
100,20,5,320,32,16,320,64,1,[100; 20; 5; 320; 32; 16; 320; 64; 1],0.08923382801003754,0.4098381677329231,tvm
750,30,10,640,640,32,64,4,2,[750; 30; 10; 640; 640; 32; 64; 4; 2],0.09366120502818376,0.3904650656632466,tvm
3,3,3,640,320,32,640,40,2,[3; 3; 3; 640; 320; 32; 640; 40; 2],0.15101542603224516,0.24217015130374667,tvm
75,75,1,32,32,16,128,4,1,[75; 75; 1; 32; 32; 16; 128; 4; 1],0.24524940992705524,0.14911933358904328,tvm
3,1,1,1280,1280,32,4,2,2,[3; 1; 1; 1280; 1280; 32; 4; 2; 2],0.4485277700005099,0.08153659821639805,tvm
1500,125,1,1280,320,64,40,4,4,[1500; 125; 1; 1280; 320; 64; 40; 4; 4],0.11148861504625529,0.32802836914114974,tvm
300,75,3,640,160,32,8,8,2,[300; 75; 3; 640; 160; 32; 8; 8; 2],0.06749317346839234,0.541853741527731,tvm
375,5,5,1280,80,16,1280,1,1,[375; 5; 5; 1280; 80; 16; 1280; 1; 1],0.1230590419145301,0.2971860336506523,tvm
60,15,1,160,160,32,320,8,2,[60; 15; 1; 160; 160; 32; 320; 8; 2],0.16463905607815832,0.22213094172543843,tvm
50,2,2,256,64,16,40,40,1,[50; 2; 2; 256; 64; 16; 40; 40; 1],0.21877811197191477,0.16716219114334144,tvm
300,150,2,1280,256,64,64,16,4,[300; 150; 2; 1280; 256; 64; 64; 16; 4],0.06554756849072874,0.5579372265593857,tvm
375,3,3,1280,1280,64,1280,64,4,[375; 3; 3; 1280; 1280; 64; 1280; 64; 4],0.15358106803614646,0.23812458813492046,tvm
1500,100,2,64,32,32,80,4,2,[1500; 100; 2; 64; 32; 32; 80; 4; 2],0.08657189196674153,0.4224399830083219,tvm
1500,15,3,128,64,64,32,1,4,[1500; 15; 3; 128; 64; 64; 32; 1; 4],0.14257237501442432,0.2565113232330497,tvm
4,4,1,1280,160,160,256,64,10,[4; 4; 1; 1280; 160; 160; 256; 64; 10],0.21899516589473933,0.16699651073123112,tvm
15,15,15,160,80,16,256,8,1,[15; 15; 15; 160; 80; 16; 256; 8; 1],0.10974211397115141,0.33324880711740557,tvm
60,30,10,256,64,32,64,1,2,[60; 30; 10; 256; 64; 32; 64; 1; 2],0.1230585880111903,0.2971871298255345,tvm
375,25,1,256,128,128,80,2,8,[375; 25; 1; 256; 128; 128; 80; 2; 8],0.1313562949653715,0.27841397765573117,tvm
500,20,4,640,16,16,20,1,1,[500; 20; 4; 640; 16; 16; 20; 1; 1],0.20476863801013678,0.17859877824463607,tvm
1500,6,1,640,160,16,1280,1,1,[1500; 6; 1; 640; 160; 16; 1280; 1; 1],0.4993925259914249,0.0732318300095195,tvm
500,10,2,320,160,160,8,1,10,[500; 10; 2; 320; 160; 160; 8; 1; 10],0.13619727396871895,0.2685180657861633,tvm
100,100,4,160,160,32,160,20,2,[100; 100; 4; 160; 160; 32; 160; 20; 2],0.05837299796985462,0.6265127686317403,tvm
60,10,1,1280,128,16,20,20,1,[60; 10; 1; 1280; 128; 16; 20; 20; 1],0.13745639903936535,0.26605839253038405,tvm
300,6,1,320,80,16,2,1,1,[300; 6; 1; 320; 80; 16; 2; 1; 1],0.19596012600231916,0.1866268884262493,tvm
1500,10,2,1280,640,160,128,64,10,[1500; 10; 2; 1280; 640; 160; 128; 64; 10],0.1350082369754091,0.2708829430762053,tvm
375,5,1,640,160,32,640,4,2,[375; 5; 1; 640; 160; 32; 640; 4; 2],0.2334223409416154,0.1566749284747169,tvm
300,50,25,320,80,16,32,1,1,[300; 50; 25; 320; 80; 16; 32; 1; 1],0.13498706300742924,0.2709254335685176,tvm
100,25,25,1280,16,16,20,4,1,[100; 25; 25; 1280; 16; 16; 20; 4; 1],0.10974560200702399,0.3332382154966712,tvm
375,15,5,320,160,32,160,40,2,[375; 15; 5; 320; 160; 32; 160; 40; 2],0.06652557000052184,0.5497349150280366,tvm
20,10,1,320,32,16,256,32,1,[20; 10; 1; 320; 32; 16; 256; 32; 1],0.30062103597447276,0.12165292576043826,tvm
60,3,3,1280,256,16,256,16,1,[60; 3; 3; 1280; 256; 16; 256; 16; 1],0.20319598296191543,0.17998106083762036,tvm
500,50,5,640,160,16,320,10,1,[500; 50; 5; 640; 160; 16; 320; 10; 1],0.0861460494925268,0.42452821443194744,tvm
60,20,20,640,16,16,10,1,1,[60; 20; 20; 640; 16; 16; 10; 1; 1],0.1594712040387094,0.22932935630530119,tvm
1500,500,5,256,32,32,40,40,2,[1500; 500; 5; 256; 32; 32; 40; 40; 2],0.060485925001557916,0.6046270858962084,tvm
12,4,4,256,256,64,20,5,4,[12; 4; 4; 256; 256; 64; 20; 5; 4],0.14159997401293367,0.2582728480450721,tvm
500,500,2,1280,16,16,320,4,1,[500; 500; 2; 1280; 16; 16; 320; 4; 1],0.1486719340318814,0.2459874408009393,tvm
300,2,1,640,160,80,40,1,5,[300; 2; 1; 640; 160; 80; 40; 1; 5],0.35248739598318934,0.10375244331622206,tvm
6,2,1,128,16,16,16,2,1,[6; 2; 1; 128; 16; 16; 16; 2; 1],0.27616806409787387,0.13242453898821432,tvm
100,25,1,128,16,16,64,16,1,[100; 25; 1; 128; 16; 16; 64; 16; 1],0.2034972490509972,0.17971460912606063,tvm
300,150,2,640,640,16,80,10,1,[300; 150; 2; 640; 640; 16; 80; 10; 1],0.13318975595757365,0.2745813918532748,tvm
300,60,2,1280,1280,128,320,32,8,[300; 60; 2; 1280; 1280; 128; 320; 32; 8],0.22016242903191596,0.16611112410159218,tvm
500,5,1,1280,640,16,640,40,1,[500; 5; 1; 1280; 640; 16; 640; 40; 1],0.5584296830929816,0.0654897647432886,tvm
1500,500,2,1280,1280,80,80,20,5,[1500; 500; 2; 1280; 1280; 80; 80; 20; 5],0.06797526153968647,0.5380108548766204,tvm
60,10,2,320,64,64,2,2,4,[60; 10; 2; 320; 64; 64; 2; 2; 4],0.10033752990420908,0.3644840430728446,tvm
