kc,ku,mc,mr,nc,nr,nvr,X,time,peak,backend
40,40,12,2,128,128,8,[40; 40; 12; 2; 128; 128; 8],0.2659829050535336,0.5499816398210696,tvm
128,64,300,6,128,64,4,[128; 64; 300; 6; 128; 64; 4],0.30872149602510035,0.4738436298385282,tvm
16,8,6,6,256,16,1,[16; 8; 6; 6; 256; 16; 1],0.35805831803008914,0.40855276059644924,tvm
10,5,150,25,32,16,1,[10; 5; 150; 25; 32; 16; 1],0.7565705680754036,0.19335369423349646,tvm
1,1,15,1,80,16,1,[1; 1; 15; 1; 80; 16; 1],1.4491415170487016,0.10094646558994282,tvm
80,20,375,3,160,80,5,[80; 20; 375; 3; 160; 80; 5],0.32970338698942214,0.44368884293690186,tvm
16,4,30,15,256,16,1,[16; 4; 30; 15; 256; 16; 1],0.723432737053372,0.20221052600073575,tvm
64,32,750,5,320,64,4,[64; 32; 750; 5; 320; 64; 4],0.2602810279931873,0.5620298775273902,tvm
80,20,50,10,32,32,2,[80; 20; 50; 10; 32; 32; 2],0.2892354760551825,0.5057668453430132,tvm
160,4,125,5,320,32,2,[160; 4; 125; 5; 320; 32; 2],0.3883387360256165,0.3766961693877086,tvm
16,1,10,2,1280,128,8,[16; 1; 10; 2; 1280; 128; 8],0.28717491193674505,0.5093958706181692,tvm
1,1,75,1,1280,32,2,[1; 1; 75; 1; 1280; 32; 2],2.067124290042557,0.07076773999046891,tvm
80,80,30,5,80,80,5,[80; 80; 30; 5; 80; 80; 5],0.5014259099261835,0.29173944024402226,tvm
16,4,5,1,640,80,5,[16; 4; 5; 1; 640; 80; 5],0.5093674079980701,0.2871909588025085,tvm
160,8,12,6,320,32,2,[160; 8; 12; 6; 320; 32; 2],0.278251308016479,0.5257323508324738,tvm
64,2,500,25,320,16,1,[64; 2; 500; 25; 320; 16; 1],1.0928742840187624,0.1338541096856872,tvm
64,1,12,3,256,64,4,[64; 1; 12; 3; 256; 64; 4],0.5583162509137765,0.262012280757176,tvm
16,16,500,5,64,32,2,[16; 16; 500; 5; 64; 32; 2],0.28764971101190895,0.5085550538921206,tvm
32,16,60,1,128,128,8,[32; 16; 60; 1; 128; 128; 8],0.30965166189707816,0.47242024599350174,tvm
128,1,50,5,1280,32,2,[128; 1; 50; 5; 1280; 32; 2],0.5874398249434307,0.24902246676891768,tvm
8,4,60,5,640,80,5,[8; 4; 60; 5; 640; 80; 5],0.4998433080036193,0.2926631445161912,tvm
40,20,75,5,320,32,2,[40; 20; 75; 5; 320; 32; 2],0.26833125308621675,0.5451683790211036,tvm
40,20,100,4,32,32,2,[40; 20; 100; 4; 32; 32; 2],0.3147437690058723,0.4647771574565627,tvm
40,8,250,5,32,32,2,[40; 8; 250; 5; 32; 32; 2],0.3241541209863499,0.4512844502503622,tvm
64,32,750,5,80,80,5,[64; 32; 750; 5; 80; 80; 5],0.4424107539234683,0.3306558735030658,tvm
512,128,300,10,256,16,1,[512; 128; 300; 10; 256; 16; 1],0.6991587979719043,0.20923102835872887,tvm
40,5,12,12,640,16,1,[40; 5; 12; 12; 640; 16; 1],0.4543325520353392,0.3219793819095221,tvm
128,8,300,12,1280,16,1,[128; 8; 300; 12; 1280; 16; 1],0.47325812210328877,0.30910344155443226,tvm
160,40,300,4,320,32,2,[160; 40; 300; 4; 320; 32; 2],0.26301500701811165,0.5561877093790348,tvm
80,10,30,5,640,32,2,[80; 10; 30; 5; 640; 32; 2],0.2661206970224157,0.5496968703392223,tvm
512,8,250,25,80,16,1,[512; 8; 250; 25; 80; 16; 1],0.5547321990597993,0.26370510767835365,tvm
320,5,25,25,256,16,1,[320; 5; 25; 25; 256; 16; 1],0.7368849579943344,0.19851906691633,tvm
32,8,150,2,640,64,4,[32; 8; 150; 2; 640; 64; 4],0.2582064949674532,0.5665454476819165,tvm
1,1,60,4,128,16,1,[1; 1; 60; 4; 128; 16; 1],1.8357225799700245,0.0796883558996714,tvm
160,5,15,15,64,16,1,[160; 5; 15; 15; 64; 16; 1],0.4843292779987678,0.3020377270813813,tvm
160,5,750,30,256,16,1,[160; 5; 750; 30; 256; 16; 1],0.9250209690071642,0.15814313316888853,tvm
64,16,500,2,640,128,8,[64; 16; 500; 2; 640; 128; 8],0.2940123090520501,0.49754962558324994,tvm
4,4,5,1,1280,80,5,[4; 4; 5; 1; 1280; 80; 5],0.562443810980767,0.2600894728144081,tvm
1,1,12,2,256,16,1,[1; 1; 12; 2; 256; 16; 1],1.916607511928305,0.07632533702142061,tvm
320,64,60,12,128,16,1,[320; 64; 60; 12; 128; 16; 1],0.5640747819561511,0.2593374477377114,tvm
